,test_r2,test_rmse,best_val_r2,num_samples,Accuracy,Precision,Recall,F1,ROC_AUC
jak1,0.7790946960449219,0.14791204281304868,0.7885915040969849,3462,0.9194805194805195,0.9604166666666667,0.9437052200614124,0.9519876097057305,0.9613239336193117
jak2,0.7401667833328247,0.15912809296386635,0.722811222076416,5061,0.8672985781990521,0.9085271317829458,0.917057902973396,0.9127725856697819,0.9244226878888507
jak3,0.6478034257888794,0.18619053276911138,0.6779676675796509,3165,0.842654028436019,0.874820143884892,0.8850072780203785,0.8798842257597684,0.9095033542180875
tyk2,0.6482179760932922,0.18413966766548787,0.6478954553604126,11160,0.8856682769726248,0.9385964912280702,0.8652291105121294,0.9004207573632539,0.9321617250673855
